"","ano","id_regiao","regiao","sigla_uf","pib_corrente_1_000","pib_per_capita_1_00","servicos_gov_1_000"
"1",2010,1,"Norte","RO",262077,10731.18,62496
"2",2010,1,"Norte","RO",1364694,15103.86,494946
"3",2010,1,"Norte","RO",69611,11033.62,12677
"4",2010,1,"Norte","RO",1186494,15095.15,465447
"5",2010,1,"Norte","RO",222021,13037.06,80725
"6",2010,1,"Norte","RO",193093,10380.21,54678
"7",2010,1,"Norte","RO",114768,13038.89,15591
"8",2010,1,"Norte","RO",107583,7852.78,22863
"9",2010,1,"Norte","RO",311788,10848.19,88492
"10",2010,1,"Norte","RO",598167,14363.13,273295
"11",2010,1,"Norte","RO",797296,15319.96,262584
"12",2010,1,"Norte","RO",1855359,15913.94,784714
"13",2010,1,"Norte","RO",272201,8750.47,58463
"14",2010,1,"Norte","RO",173651,8750.38,39381
"15",2010,1,"Norte","RO",477501,12585.36,161803
"16",2010,1,"Norte","RO",540862,16023.63,201280
"17",2010,1,"Norte","RO",9093824,21319.08,3337276
"18",2010,1,"Norte","RO",235589,10555.53,62352
"19",2010,1,"Norte","RO",41934,12645.97,3950
"20",2010,1,"Norte","RO",627848,12390.44,224638
"21",2010,1,"Norte","RO",98818,11120.68,16202
"22",2010,1,"Norte","RO",1447187,18995.2,617148
"23",2010,1,"Norte","RO",324476,14867.85,63420
"24",2010,1,"Norte","RO",218431,9685.67,36735
"25",2010,1,"Norte","RO",160689,9528.51,31599
"26",2010,1,"Norte","RO",119974,9353.97,19892
"27",2010,1,"Norte","RO",152235,8879.79,30463
"28",2010,1,"Norte","RO",336265,10383.35,83316
"29",2010,1,"Norte","RO",95420,9321.1,16454
"30",2010,1,"Norte","RO",76701,13392.84,8660
"31",2010,1,"Norte","RO",120440,9506.68,12988
"32",2010,1,"Norte","RO",228321,11541.88,42575
"33",2010,1,"Norte","RO",39936,11152.28,4075
"34",2010,1,"Norte","RO",165716,19956.21,34750
"35",2010,1,"Norte","RO",210218,13243.73,39323
"36",2010,1,"Norte","RO",111130,10570.72,11148
"37",2010,1,"Norte","RO",90690,10593.45,18357
"38",2010,1,"Norte","RO",99692,9628.4,19584
"39",2010,1,"Norte","RO",114869,9678.04,25394
"40",2010,1,"Norte","RO",143417,10178.62,24584
"41",2010,1,"Norte","RO",70739,9434.33,7169
"42",2010,1,"Norte","RO",49986,10392.15,6234
"43",2010,1,"Norte","RO",43812,18868.24,4683
"44",2010,1,"Norte","RO",35105,9964.65,4319
"45",2010,1,"Norte","RO",58727,9758.55,7742
"46",2010,1,"Norte","RO",173610,10837.73,35417
"47",2010,1,"Norte","RO",117281,10067.89,21990
"48",2010,1,"Norte","RO",50001,10218.91,6483
"49",2010,1,"Norte","RO",105535,9915.02,9698
"50",2010,1,"Norte","RO",121359,9357.65,20848
"51",2010,1,"Norte","RO",91480,9772.49,11749
"52",2010,1,"Norte","RO",89263,10861.88,11071
"53",2010,1,"Norte","AC",121915,9723.62,14441
"54",2010,1,"Norte","AC",42017,6916.45,6147
"55",2010,1,"Norte","AC",190699,8895.37,41106
"56",2010,1,"Norte","AC",86265,10179.96,7356
"57",2010,1,"Norte","AC",108531,12319.08,10229
"58",2010,1,"Norte","AC",771040,9829.18,275200
"59",2010,1,"Norte","AC",144997,9585.95,44682
"60",2010,1,"Norte","AC",200521,6205.96,24542
"61",2010,1,"Norte","AC",41234,6313.58,3741
"62",2010,1,"Norte","AC",95419,6258.61,11256
"63",2010,1,"Norte","AC",55803,6984.96,6822
"64",2010,1,"Norte","AC",96005,6760.91,8037
"65",2010,1,"Norte","AC",132633,7709.86,16953
"66",2010,1,"Norte","AC",60318,6576.28,5542
"67",2010,1,"Norte","AC",5125851,15264.78,2294596
"68",2010,1,"Norte","AC",124221,8666.21,11468
"69",2010,1,"Norte","AC",35855,7774.32,6727
"70",2010,1,"Norte","AC",184620,9160.9,33913
"71",2010,1,"Norte","AC",264528,6962.55,42201
"72",2010,1,"Norte","AC",227963,6416.78,35690
"73",2010,1,"Norte","AC",117260,7321.42,14605
"74",2010,1,"Norte","AC",114661,7744.26,11558
"75",2010,1,"Norte","AM",58365,4145.22,7284
"76",2010,1,"Norte","AM",36941,3825.29,5044
